"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy"
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"OTC","L3","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"OTC","L4","PO",167,175
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"CTL","L5","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"OTC","L6","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"CTL","L7","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"CTL","L8","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"OTC","L9","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2004,"OTC","L10","PO",179,180
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"CTL","L1","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"CTL","L2","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"OTC","L3","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"OTC","L4","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"CTL","L5","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"OTC","L6","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"CTL","L7","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"CTL","L8","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"OTC","L9","PO",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SALPOL",2005,"OTC","L10","PO",162,168
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2002,"CTL","L1","FPE",170,177
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2002,"CTL","L2","FPE",146,165
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2002,"OTC","L9","FPE",166,170
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2002,"OTC","L10","FPE",166,170
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2003,"CTL","L1","FPE",171,174
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2003,"CTL","L2","FPE",174,177
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2003,"OTC","L9","FPE",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2003,"OTC","L10","FPE",171,174
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2004,"CTL","L1","FPE",167,175
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2004,"CTL","L2","FPE",164,167
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2004,"OTC","L10","FPE",164,167
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2005,"CTL","L2","FPE",173,178
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","SAXOPP",2005,"OTC","L10","FPE",162,168
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"CTL","L1","LPE",177,184
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"CTL","L2","LPE",177,184
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"OTC","L3","LPE",197,198
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"OTC","L4","LPE",177,184
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"CTL","L5","LPE",177,184
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"OTC","L6","LPE",177,184
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"CTL","L7","LPE",NA,NA
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"CTL","L8","LPE",177,184
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"OTC","L9","LPE",170,177
"ENDALEN","ENDALEN.DRYAS_HEATH.IJ","DRYOCT",2002,"OTC","L10","LPE",NA,NA
