"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
2004,"CTL","CARRUP","OVS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","CARRUP","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","DRYOCT","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","FC","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,4
2004,"CTL","DRYOCT","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","FPO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","FU","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","LPE","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,2
2004,"CTL","DRYOCT","TW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","POLVIV","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","POLVIV","FB","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","POLVIV","FC","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","POLVIV","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","POLVIV","FL","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","POLVIV","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","SALPOL","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","SALPOL","FA","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","SALPOL","FC","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"CTL","SALPOL","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","SALPOL","FS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2004,"CTL","SALPOL","LPO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"CTL","SALPOL","OVS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2004,"CTL","SALPOL","PO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2004,"CTL","SALPOL","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,5
2004,"CTL","SAXOPP","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,0
2004,"CTL","SAXOPP","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,0
2004,"CTL","SAXOPP","FPE","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,0
2004,"CTL","SAXOPP","FPO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,0
2004,"CTL","SAXOPP","PO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,1
2004,"CTL","SAXOPP","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",2,0
2004,"OTC","CARRUP","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,0
2004,"OTC","CARRUP","FA","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,0
2004,"OTC","CARRUP","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,1
2004,"OTC","CARRUP","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,2
2004,"OTC","CARRUP","FS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,0
2004,"OTC","CARRUP","OVS","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,0
2004,"OTC","CARRUP","SD","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",4,0
2004,"OTC","DRYOCT","AW","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,1
2004,"OTC","DRYOCT","FC","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,2
2004,"OTC","DRYOCT","FF","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
2004,"OTC","DRYOCT","FO","ENDALEN.DRYAS_HEATH.IJ","ENDALEN",5,0
