"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
1998,"CTL","MINOBT","Fl_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","MINOBT","FW_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","MINOBT","Le_IN","ATQASUK.AD.RH",6,0,"ATQASUK"
1998,"CTL","MINOBT","SD_IN","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","MINOBT","SV_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","PEDLAP","Le_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","POLBIS","Bu_IN","ATQASUK.AD.RH",5,0,"ATQASUK"
1998,"CTL","POLBIS","Fl_IN","ATQASUK.AD.RH",5,0,"ATQASUK"
1998,"CTL","POLBIS","FW_IN","ATQASUK.AD.RH",3,0,"ATQASUK"
1998,"CTL","POLBIS","In_IN","ATQASUK.AD.RH",5,0,"ATQASUK"
1998,"CTL","POLBIS","Le_IN","ATQASUK.AD.RH",25,0,"ATQASUK"
1998,"CTL","POLBIS","LW_IN","ATQASUK.AD.RH",21,0,"ATQASUK"
1998,"CTL","POLBIS","SV_IN","ATQASUK.AD.RH",1,0,"ATQASUK"
1998,"CTL","SALPHL","Bu_IN_F","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","SALPHL","Bu_IN_M","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","SALPHL","Fl_IN_F","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","SALPHL","Fl_IN_M","ATQASUK.AD.RH",5,0,"ATQASUK"
1998,"CTL","SALPHL","FW_IN_M","ATQASUK.AD.RH",5,0,"ATQASUK"
1998,"CTL","SALPHL","In_IN_F","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","SALPHL","In_IN_M","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","SALPHL","Le_IN_F","ATQASUK.AD.RH",4,0,"ATQASUK"
1998,"CTL","SALPHL","Le_IN_M","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","SALPHL","LW_IN_M","ATQASUK.AD.RH",2,0,"ATQASUK"
1998,"CTL","SALPHL","SD_IN_F","ATQASUK.AD.RH",1,0,"ATQASUK"
1998,"CTL","TRISPI","Le_IN","ATQASUK.AD.RH",30,0,"ATQASUK"
1998,"CTL","TRISPI","LW_IN","ATQASUK.AD.RH",7,0,"ATQASUK"
