"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
1997,"CTL","DRALAC","Bu_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","DRALAC","Fl_IN","BARROW.BD.RH",9,0,"BARROW"
1997,"CTL","DRALAC","FW_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"CTL","DRALAC","Le_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","DRALAC","SV_IN","BARROW.BD.RH",9,0,"BARROW"
1997,"CTL","DRAMIC","Bu_IN","BARROW.BD.RH",13,0,"BARROW"
1997,"CTL","DRAMIC","Fl_IN","BARROW.BD.RH",17,0,"BARROW"
1997,"CTL","DRAMIC","FW_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"CTL","DRAMIC","Le_IN","BARROW.BD.RH",10,0,"BARROW"
1997,"CTL","DRAMIC","SD_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","DRAMIC","SV_IN","BARROW.BD.RH",16,0,"BARROW"
1997,"CTL","JUNBIG","Fl_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"CTL","JUNBIG","FW_IN","BARROW.BD.RH",6,0,"BARROW"
1997,"CTL","JUNBIG","In_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","JUNBIG","Le_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","LUZARC","Fl_IN","BARROW.BD.RH",33,0,"BARROW"
1997,"CTL","LUZARC","FW_IN","BARROW.BD.RH",34,0,"BARROW"
1997,"CTL","LUZARC","In_IN","BARROW.BD.RH",30,0,"BARROW"
1997,"CTL","LUZARC","Le_IN","BARROW.BD.RH",24,0,"BARROW"
1997,"CTL","LUZCON","Fl_IN","BARROW.BD.RH",20,0,"BARROW"
1997,"CTL","LUZCON","FW_IN","BARROW.BD.RH",27,0,"BARROW"
1997,"CTL","LUZCON","In_IN","BARROW.BD.RH",25,0,"BARROW"
1997,"CTL","LUZCON","Le_IN","BARROW.BD.RH",49,0,"BARROW"
1997,"CTL","PAPHUL","Bu_IN","BARROW.BD.RH",12,0,"BARROW"
1997,"CTL","PAPHUL","Fl_IN","BARROW.BD.RH",11,0,"BARROW"
1997,"CTL","PAPHUL","FW_IN","BARROW.BD.RH",11,0,"BARROW"
1997,"CTL","PAPHUL","Le_IN","BARROW.BD.RH",12,0,"BARROW"
1997,"CTL","PEDKAN","Bu_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","PEDKAN","Fl_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"CTL","PEDKAN","FW_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"CTL","PEDKAN","Le_IN","BARROW.BD.RH",7,0,"BARROW"
1997,"CTL","POAARC","Fl_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","POAARC","FW_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","POAARC","In_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","POAARC","Le_IN","BARROW.BD.RH",46,0,"BARROW"
1997,"CTL","POTHYP","Bu_IN","BARROW.BD.RH",60,0,"BARROW"
1997,"CTL","POTHYP","Fl_IN","BARROW.BD.RH",58,0,"BARROW"
1997,"CTL","POTHYP","FW_IN","BARROW.BD.RH",59,0,"BARROW"
1997,"CTL","POTHYP","Le_IN","BARROW.BD.RH",44,0,"BARROW"
1997,"CTL","POTHYP","LW_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","RANNIV","Bu_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","RANNIV","Fl_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","RANNIV","FW_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","RANNIV","Le_IN","BARROW.BD.RH",2,0,"BARROW"
1997,"CTL","RANNIV","LW_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SALROT","Bu_IN_F","BARROW.BD.RH",21,0,"BARROW"
1997,"CTL","SALROT","Bu_IN_M","BARROW.BD.RH",19,0,"BARROW"
1997,"CTL","SALROT","Fl_IN_F","BARROW.BD.RH",64,0,"BARROW"
1997,"CTL","SALROT","Fl_IN_M","BARROW.BD.RH",25,0,"BARROW"
1997,"CTL","SALROT","FW_IN_F","BARROW.BD.RH",50,0,"BARROW"
1997,"CTL","SALROT","FW_IN_M","BARROW.BD.RH",65,0,"BARROW"
1997,"CTL","SALROT","Le_IN_F","BARROW.BD.RH",20,0,"BARROW"
1997,"CTL","SALROT","Le_IN_M","BARROW.BD.RH",14,0,"BARROW"
1997,"CTL","SALROT","LW_IN_F","BARROW.BD.RH",62,0,"BARROW"
1997,"CTL","SALROT","LW_IN_M","BARROW.BD.RH",64,0,"BARROW"
1997,"CTL","SALROT","SD_IN_F","BARROW.BD.RH",10,0,"BARROW"
1997,"CTL","SALROT","SV_IN_F","BARROW.BD.RH",56,0,"BARROW"
1997,"CTL","SAXCAE","Bu_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXCAE","Fl_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXCAE","FW_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXCAE","Le_IN","BARROW.BD.RH",2,0,"BARROW"
1997,"CTL","SAXCER","Le_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","SAXFOL","In_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"CTL","SAXFOL","Le_IN","BARROW.BD.RH",13,0,"BARROW"
1997,"CTL","SAXNIV","Bu_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXNIV","Fl_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXNIV","FW_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXNIV","Le_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"CTL","SAXNIV","SV_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXPUN","Bu_IN","BARROW.BD.RH",16,0,"BARROW"
1997,"CTL","SAXPUN","Fl_IN","BARROW.BD.RH",22,0,"BARROW"
1997,"CTL","SAXPUN","FW_IN","BARROW.BD.RH",18,0,"BARROW"
1997,"CTL","SAXPUN","Le_IN","BARROW.BD.RH",33,0,"BARROW"
1997,"CTL","SAXPUN","LW_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"CTL","SAXPUN","SV_IN","BARROW.BD.RH",15,0,"BARROW"
1997,"CTL","SENATR","Fl_IN","BARROW.BD.RH",24,0,"BARROW"
1997,"CTL","SENATR","FW_IN","BARROW.BD.RH",23,0,"BARROW"
1997,"CTL","SENATR","In_IN","BARROW.BD.RH",25,0,"BARROW"
1997,"CTL","SENATR","Le_IN","BARROW.BD.RH",36,0,"BARROW"
1997,"CTL","STELAE","Bu_IN","BARROW.BD.RH",21,0,"BARROW"
1997,"CTL","STELAE","Fl_IN","BARROW.BD.RH",9,0,"BARROW"
1997,"CTL","STELAE","FW_IN","BARROW.BD.RH",10,0,"BARROW"
1997,"CTL","STELAE","Le_IN","BARROW.BD.RH",26,0,"BARROW"
1997,"CTL","VACVIT","Le_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"OTC","ALOALP","Fl_IN","BARROW.BD.RH",6,0,"BARROW"
1997,"OTC","ALOALP","FW_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"OTC","ALOALP","In_IN","BARROW.BD.RH",6,0,"BARROW"
1997,"OTC","ALOALP","Le_IN","BARROW.BD.RH",12,0,"BARROW"
1997,"OTC","ARCLAT","Fl_IN","BARROW.BD.RH",6,0,"BARROW"
1997,"OTC","ARCLAT","FW_IN","BARROW.BD.RH",2,0,"BARROW"
1997,"OTC","ARCLAT","In_IN","BARROW.BD.RH",7,0,"BARROW"
1997,"OTC","ARCLAT","Le_IN","BARROW.BD.RH",25,0,"BARROW"
1997,"OTC","CARSTA","Fl_IN","BARROW.BD.RH",6,0,"BARROW"
1997,"OTC","CARSTA","FW_IN","BARROW.BD.RH",6,0,"BARROW"
1997,"OTC","CARSTA","In_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"OTC","CARSTA","Le_IN","BARROW.BD.RH",11,0,"BARROW"
1997,"OTC","CASTET","Bu_IN","BARROW.BD.RH",48,0,"BARROW"
1997,"OTC","CASTET","Fl_IN","BARROW.BD.RH",59,0,"BARROW"
1997,"OTC","CASTET","FW_IN","BARROW.BD.RH",56,0,"BARROW"
1997,"OTC","CASTET","Le_IN","BARROW.BD.RH",18,0,"BARROW"
1997,"OTC","CASTET","LW_IN","BARROW.BD.RH",49,0,"BARROW"
1997,"OTC","CASTET","SV_IN","BARROW.BD.RH",39,0,"BARROW"
1997,"OTC","DRALAC","Bu_IN","BARROW.BD.RH",6,0,"BARROW"
1997,"OTC","DRALAC","Fl_IN","BARROW.BD.RH",12,0,"BARROW"
1997,"OTC","DRALAC","FW_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"OTC","DRALAC","Le_IN","BARROW.BD.RH",9,0,"BARROW"
1997,"OTC","DRALAC","SV_IN","BARROW.BD.RH",17,0,"BARROW"
1997,"OTC","DRAMIC","Bu_IN","BARROW.BD.RH",18,0,"BARROW"
1997,"OTC","DRAMIC","Fl_IN","BARROW.BD.RH",19,0,"BARROW"
1997,"OTC","DRAMIC","FW_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"OTC","DRAMIC","Le_IN","BARROW.BD.RH",22,0,"BARROW"
1997,"OTC","DRAMIC","SD_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"OTC","DRAMIC","SV_IN","BARROW.BD.RH",21,0,"BARROW"
1997,"OTC","FESBRA","Fl_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"OTC","FESBRA","Le_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"OTC","FESBRA","St_IN","BARROW.BD.RH",1,0,"BARROW"
1997,"OTC","JUNBIG","Fl_IN","BARROW.BD.RH",4,0,"BARROW"
1997,"OTC","JUNBIG","FW_IN","BARROW.BD.RH",5,0,"BARROW"
1997,"OTC","JUNBIG","In_IN","BARROW.BD.RH",3,0,"BARROW"
1997,"OTC","JUNBIG","Le_IN","BARROW.BD.RH",5,0,"BARROW"
