"site_name","subsite","spp","year","treatment","ct","ct_na","phen_stage"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2003","OTC",20,4,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2003","OTC",20,18,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2003","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2003","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2003","OTC",20,5,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","CTL",21,9,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","CTL",21,8,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","CTL",21,1,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","CTL",21,21,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","CTL",21,1,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","CTL",21,18,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","OTC",20,17,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","OTC",20,17,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2004","OTC",20,18,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","CTL",20,3,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","CTL",20,3,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","CTL",20,4,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","OTC",20,14,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","OTC",20,14,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2005","OTC",20,18,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","CTL",20,3,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","CTL",20,20,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","CTL",20,3,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","OTC",20,6,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","OTC",20,20,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","OTC",20,1,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2006","OTC",20,6,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","CTL",20,0,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","CTL",20,0,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","CTL",20,0,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","OTC",20,8,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","OTC",20,8,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2007","OTC",20,8,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","CTL",20,3,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","CTL",20,3,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","CTL",20,1,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","OTC",20,11,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","OTC",20,11,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2008","OTC",20,10,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","CTL",20,2,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","CTL",20,2,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","CTL",20,5,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","OTC",20,10,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","OTC",20,10,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","OTC",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","OTC",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","OTC",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2009","OTC",20,12,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","CTL",20,1,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","CTL",20,1,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","CTL",20,0,"first leaf"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","CTL",20,20,"MET"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","CTL",20,0,"obs"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","CTL",20,0,"seed shed"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","OTC",20,6,"first anther"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","OTC",20,8,"first bud"
"DARING","DARING.TERNPLOT_F.KC","eriophorum","2010","OTC",20,1,"first leaf"
