"year","treatment","spp","phen_stage","ct","ct_na","site_name","subsite"
"2014","CTL","ERIVAG","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","CTL","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","CTL","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","CTL","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","CTL","VACULI","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","CTL","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","CTL","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","BETNAN","all.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","BETNAN","bud.burst",11,1,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","BETNAN","some.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","CARXXX","all.senesced",12,4,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","ERIVAG","all.senesced",12,12,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","ERIVAG","bud.burst",12,12,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","ERIVAG","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","VACULI","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","OTC","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","BETNAN","all.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","BETNAN","bud.burst",11,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","BETNAN","some.senesced",11,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","CARXXX","all.senesced",12,7,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","ERIVAG","all.senesced",12,12,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","ERIVAG","bud.burst",12,12,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","ERIVAG","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","RUBCHA","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","VACULI","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","VACULI","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE","VACULI","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","BETNAN","all.senesced",9,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","BETNAN","bud.burst",9,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","BETNAN","some.senesced",9,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","CARXXX","all.senesced",12,6,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","CARXXX","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","CARXXX","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","ERIVAG","all.senesced",12,11,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","ERIVAG","bud.burst",12,12,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","ERIVAG","some.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","RUBCHA","all.senesced",12,0,"HEALY","HEALY.CiPEHR.MM"
"2014","SNOWFENCE|OTC","RUBCHA","bud.burst",12,0,"HEALY","HEALY.CiPEHR.MM"
