"","subsite","year","treatment","spp","phen_stage","ct","ct_na","site_name"
"44","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"CTL","VERALP","seed_dispersal",23,6,"GAVIAPASS"
"45","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"CTL","VERALP","unopened_buds",23,0,"GAVIAPASS"
"46","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","CARALP","anthesis",69,2,"GAVIAPASS"
"47","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","CARALP","expanding_fruits",69,0,"GAVIAPASS"
"48","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","CARALP","initiated_fruits",69,37,"GAVIAPASS"
"49","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","CARALP","seed_dispersal",69,0,"GAVIAPASS"
"50","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","CARALP","unopened_buds",69,0,"GAVIAPASS"
"51","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","LEUALP","anthesis",74,0,"GAVIAPASS"
"52","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","LEUALP","expanding_fruits",74,25,"GAVIAPASS"
"53","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","LEUALP","initiated_fruits",74,25,"GAVIAPASS"
"54","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","LEUALP","seed_dispersal",74,0,"GAVIAPASS"
"55","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","LEUALP","unopened_buds",74,2,"GAVIAPASS"
"56","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","VERALP","anthesis",51,7,"GAVIAPASS"
"57","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","VERALP","expanding_fruits",51,2,"GAVIAPASS"
"58","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","VERALP","initiated_fruits",51,5,"GAVIAPASS"
"59","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","VERALP","seed_dispersal",51,0,"GAVIAPASS"
"60","GAVIAPASS.POLYTRICHASTRUM.MC",2011,"OTC","VERALP","unopened_buds",51,0,"GAVIAPASS"
"61","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","CARALP","anthesis",28,1,"GAVIAPASS"
"62","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","CARALP","expanding_fruits",28,0,"GAVIAPASS"
"63","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","CARALP","initiated_fruits",28,15,"GAVIAPASS"
"64","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","CARALP","seed_dispersal",28,0,"GAVIAPASS"
"65","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","CARALP","unopened_buds",28,2,"GAVIAPASS"
"66","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","LEUALP","anthesis",38,0,"GAVIAPASS"
"67","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","LEUALP","expanding_fruits",38,5,"GAVIAPASS"
"68","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","LEUALP","initiated_fruits",38,1,"GAVIAPASS"
"69","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","LEUALP","seed_dispersal",38,0,"GAVIAPASS"
"70","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","LEUALP","unopened_buds",38,11,"GAVIAPASS"
"71","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","VERALP","anthesis",29,13,"GAVIAPASS"
"72","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","VERALP","expanding_fruits",29,0,"GAVIAPASS"
"73","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","VERALP","initiated_fruits",29,0,"GAVIAPASS"
"74","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","VERALP","seed_dispersal",29,3,"GAVIAPASS"
"75","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"CTL","VERALP","unopened_buds",29,0,"GAVIAPASS"
"76","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","CARALP","anthesis",34,4,"GAVIAPASS"
"77","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","CARALP","expanding_fruits",34,0,"GAVIAPASS"
"78","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","CARALP","initiated_fruits",34,7,"GAVIAPASS"
"79","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","CARALP","seed_dispersal",34,0,"GAVIAPASS"
"80","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","CARALP","unopened_buds",34,0,"GAVIAPASS"
"81","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","LEUALP","anthesis",44,3,"GAVIAPASS"
"82","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","LEUALP","expanding_fruits",44,8,"GAVIAPASS"
"83","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","LEUALP","initiated_fruits",44,4,"GAVIAPASS"
"84","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","LEUALP","seed_dispersal",44,0,"GAVIAPASS"
"85","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","LEUALP","unopened_buds",44,7,"GAVIAPASS"
"86","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","VERALP","anthesis",35,25,"GAVIAPASS"
"87","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","VERALP","expanding_fruits",35,0,"GAVIAPASS"
"88","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","VERALP","initiated_fruits",35,6,"GAVIAPASS"
"89","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","VERALP","seed_dispersal",35,0,"GAVIAPASS"
"90","GAVIAPASS.POLYTRICHASTRUM.MC",2012,"OTC","VERALP","unopened_buds",35,4,"GAVIAPASS"
"91","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","CARALP","anthesis",25,4,"GAVIAPASS"
"92","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","CARALP","expanding_fruits",25,0,"GAVIAPASS"
"93","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","CARALP","initiated_fruits",25,5,"GAVIAPASS"
"94","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","CARALP","seed_dispersal",25,2,"GAVIAPASS"
"95","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","CARALP","unopened_buds",25,3,"GAVIAPASS"
"96","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","LEUALP","anthesis",18,0,"GAVIAPASS"
"97","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","LEUALP","expanding_fruits",18,6,"GAVIAPASS"
"98","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","LEUALP","initiated_fruits",18,0,"GAVIAPASS"
"99","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","LEUALP","seed_dispersal",18,4,"GAVIAPASS"
"100","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","LEUALP","unopened_buds",18,5,"GAVIAPASS"
"101","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","VERALP","anthesis",24,8,"GAVIAPASS"
"102","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","VERALP","expanding_fruits",24,0,"GAVIAPASS"
"103","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","VERALP","initiated_fruits",24,0,"GAVIAPASS"
"104","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","VERALP","seed_dispersal",24,22,"GAVIAPASS"
"105","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"CTL","VERALP","unopened_buds",24,9,"GAVIAPASS"
"106","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","CARALP","anthesis",30,17,"GAVIAPASS"
"107","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","CARALP","expanding_fruits",30,0,"GAVIAPASS"
"108","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","CARALP","initiated_fruits",30,7,"GAVIAPASS"
"109","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","CARALP","seed_dispersal",30,0,"GAVIAPASS"
"110","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","CARALP","unopened_buds",30,6,"GAVIAPASS"
"111","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","LEUALP","anthesis",28,0,"GAVIAPASS"
"112","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","LEUALP","expanding_fruits",28,7,"GAVIAPASS"
"113","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","LEUALP","initiated_fruits",28,3,"GAVIAPASS"
"114","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","LEUALP","seed_dispersal",28,0,"GAVIAPASS"
"115","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","LEUALP","unopened_buds",28,5,"GAVIAPASS"
"116","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","VERALP","anthesis",30,11,"GAVIAPASS"
"117","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","VERALP","expanding_fruits",30,0,"GAVIAPASS"
"118","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","VERALP","initiated_fruits",30,9,"GAVIAPASS"
"119","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","VERALP","seed_dispersal",30,3,"GAVIAPASS"
"120","GAVIAPASS.POLYTRICHASTRUM.MC",2013,"OTC","VERALP","unopened_buds",30,0,"GAVIAPASS"
"121","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","CARALP","anthesis",27,0,"GAVIAPASS"
"122","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","CARALP","expanding_fruits",27,0,"GAVIAPASS"
"123","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","CARALP","initiated_fruits",27,0,"GAVIAPASS"
"124","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","CARALP","seed_dispersal",27,25,"GAVIAPASS"
"125","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","CARALP","unopened_buds",27,2,"GAVIAPASS"
"126","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","LEUALP","anthesis",8,0,"GAVIAPASS"
"127","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","LEUALP","expanding_fruits",8,0,"GAVIAPASS"
"128","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","LEUALP","initiated_fruits",8,0,"GAVIAPASS"
"129","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","LEUALP","seed_dispersal",8,8,"GAVIAPASS"
"130","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","LEUALP","unopened_buds",8,1,"GAVIAPASS"
"131","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","VERALP","anthesis",6,1,"GAVIAPASS"
"132","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","VERALP","expanding_fruits",6,0,"GAVIAPASS"
"133","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","VERALP","initiated_fruits",6,0,"GAVIAPASS"
"134","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","VERALP","seed_dispersal",6,6,"GAVIAPASS"
"135","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"CTL","VERALP","unopened_buds",6,2,"GAVIAPASS"
"136","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","CARALP","anthesis",39,0,"GAVIAPASS"
"137","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","CARALP","expanding_fruits",39,0,"GAVIAPASS"
"138","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","CARALP","initiated_fruits",39,2,"GAVIAPASS"
"139","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","CARALP","seed_dispersal",39,2,"GAVIAPASS"
"140","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","CARALP","unopened_buds",39,1,"GAVIAPASS"
"141","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","LEUALP","anthesis",44,0,"GAVIAPASS"
"142","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","LEUALP","expanding_fruits",44,2,"GAVIAPASS"
"143","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","LEUALP","initiated_fruits",44,0,"GAVIAPASS"
"144","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","LEUALP","seed_dispersal",44,4,"GAVIAPASS"
"145","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","LEUALP","unopened_buds",44,0,"GAVIAPASS"
"146","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","VERALP","anthesis",28,8,"GAVIAPASS"
"147","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","VERALP","expanding_fruits",28,1,"GAVIAPASS"
"148","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","VERALP","initiated_fruits",28,1,"GAVIAPASS"
"149","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","VERALP","seed_dispersal",28,20,"GAVIAPASS"
"150","GAVIAPASS.POLYTRICHASTRUM.MC",2014,"OTC","VERALP","unopened_buds",28,0,"GAVIAPASS"
