"","all","site_name","subsite","year","treatment","plot","doy","OTC_period"
"35","ALEXFIORD_ALEXFIORD.FERT.GH_2008_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL","5",166,"YR"
"36","ALEXFIORD_ALEXFIORD.FERT.GH_2010_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL","5",167,"YR"
"37","ALEXFIORD_ALEXFIORD.FERT.GH_2003_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC","6",168,"YR"
"38","ALEXFIORD_ALEXFIORD.FERT.GH_2004_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC","6",164,"YR"
"39","ALEXFIORD_ALEXFIORD.FERT.GH_2005_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC","6",168,"YR"
"40","ALEXFIORD_ALEXFIORD.FERT.GH_2008_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC","6",166,"YR"
"41","ALEXFIORD_ALEXFIORD.FERT.GH_2010_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC","6",165,"YR"
"42","ALEXFIORD_ALEXFIORD.FERT.GH_2003_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL","13",163,"YR"
"43","ALEXFIORD_ALEXFIORD.FERT.GH_2004_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL","13",160,"YR"
"44","ALEXFIORD_ALEXFIORD.FERT.GH_2005_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL","13",169,"YR"
"45","ALEXFIORD_ALEXFIORD.FERT.GH_2007_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL","13",159,"YR"
"46","ALEXFIORD_ALEXFIORD.FERT.GH_2008_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL","13",164,"YR"
"47","ALEXFIORD_ALEXFIORD.FERT.GH_2010_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL","13",165,"YR"
"48","ALEXFIORD_ALEXFIORD.FERT.GH_2003_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC","14",167,"YR"
"49","ALEXFIORD_ALEXFIORD.FERT.GH_2004_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC","14",159,"YR"
"50","ALEXFIORD_ALEXFIORD.FERT.GH_2005_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC","14",163,"YR"
"51","ALEXFIORD_ALEXFIORD.FERT.GH_2008_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC","14",165,"YR"
"52","ALEXFIORD_ALEXFIORD.FERT.GH_2010_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC","14",165,"YR"
"53","ALEXFIORD_ALEXFIORD.FERT.GH_2003_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL","21",170,"YR"
"54","ALEXFIORD_ALEXFIORD.FERT.GH_2004_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL","21",160,"YR"
"55","ALEXFIORD_ALEXFIORD.FERT.GH_2005_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL","21",169,"YR"
"56","ALEXFIORD_ALEXFIORD.FERT.GH_2007_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2007,"CTL","21",160,"YR"
"57","ALEXFIORD_ALEXFIORD.FERT.GH_2008_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"CTL","21",166,"YR"
"58","ALEXFIORD_ALEXFIORD.FERT.GH_2010_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"CTL","21",169,"YR"
"59","ALEXFIORD_ALEXFIORD.FERT.GH_2003_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"OTC","22",168,"YR"
"60","ALEXFIORD_ALEXFIORD.FERT.GH_2004_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"OTC","22",160,"YR"
"61","ALEXFIORD_ALEXFIORD.FERT.GH_2005_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"OTC","22",166,"YR"
"62","ALEXFIORD_ALEXFIORD.FERT.GH_2008_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2008,"OTC","22",165,"YR"
"63","ALEXFIORD_ALEXFIORD.FERT.GH_2010_OTC","ALEXFIORD","ALEXFIORD.FERT.GH",2010,"OTC","22",165,"YR"
"64","ALEXFIORD_ALEXFIORD.FERT.GH_2003_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2003,"CTL","29",163,"YR"
"65","ALEXFIORD_ALEXFIORD.FERT.GH_2004_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2004,"CTL","29",164,"YR"
"66","ALEXFIORD_ALEXFIORD.FERT.GH_2005_CTL","ALEXFIORD","ALEXFIORD.FERT.GH",2005,"CTL","29",165,"YR"
