"site_name","subsite","year","treatment","spp","phen_stage","ct","ct_na"
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","DESCAE","V2",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","DESCAE","V3",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","DESCAE","V4",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","DESCAE","V5",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","LTR",21,12
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","R1",21,12
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","R2",21,10
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","R3",21,10
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","V1",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","V2",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","V3",21,7
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","V4",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2018,"OTC","GEUROS","V5",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","LTR",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","R1",21,8
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","R2",21,7
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","R3",21,13
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","V1",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","V2",21,5
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","V3",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","V4",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","DESCAE","V5",21,21
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","LTR",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","R1",21,10
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","R2",21,13
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","R3",21,11
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","V1",21,4
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","V2",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","V3",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","V4",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"CTL","GEUROS","V5",21,0
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"EARLYSNOWMELT","DESCAE","LTR",16,16
"NIWOT","NIWOT.BS_AUDUBON.CF",2019,"EARLYSNOWMELT","DESCAE","R1",16,4
