"site_name","subsite","spp","year","treatment","plot","phen_stage","prior_visit","doy","plant_id"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_new",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_mat",156,165,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_sen",219,225,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bud_f",165,170,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bud_l",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bbk_f",170,174,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bbk_l",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_mat_f",175,178,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_mat_l",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_sen_f",184,186,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_sen_l",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"cap_f",186,190,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"cap_l",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"sd_disp",216,219,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"aborted",NA,NA,"404"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_new",NA,NA,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_mat",156,165,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_sen",219,225,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bud_f",156,165,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bud_l",NA,NA,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bbk_f",156,165,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bbk_l",NA,NA,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_mat_f",170,174,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_mat_l",NA,NA,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_sen_f",175,178,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_sen_l",NA,NA,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"cap_f",186,190,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"cap_l",NA,NA,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"sd_disp",208,213,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"aborted",NA,NA,"405"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_new",NA,NA,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_mat",156,165,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"lv_sen",203,208,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bud_f",156,165,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bud_l",NA,NA,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bbk_f",165,170,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_bbk_l",NA,NA,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_mat_f",170,174,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_mat_l",NA,NA,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_sen_f",175,178,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"fl_sen_l",NA,NA,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"cap_f",186,190,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"cap_l",NA,NA,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"sd_disp",203,208,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"CTL",1,"aborted",NA,NA,"406"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_new",156,165,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_mat",165,170,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_sen",208,213,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bud_f",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bud_l",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bbk_f",170,174,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bbk_l",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_mat_f",175,178,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_mat_l",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_sen_f",178,182,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_sen_l",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"cap_f",186,190,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"cap_l",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"sd_disp",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"aborted",NA,NA,"407"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_new",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_mat",156,165,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_sen",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bud_f",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bud_l",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bbk_f",156,165,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bbk_l",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_mat_f",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_mat_l",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_sen_f",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_sen_l",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"cap_f",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"cap_l",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"sd_disp",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"aborted",NA,NA,"408"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_new",156,165,"409"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_mat",165,170,"409"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"lv_sen",216,219,"409"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bud_f",NA,NA,"409"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bud_l",NA,NA,"409"
"ALEXFIORD","ALEXFIORD.WILLOW.GH","DRYINT",1993,"OTC",2,"fl_bbk_f",156,165,"409"
