Site:Subsite,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Utqiagvik_Dry,-2.16546,0.667835,-3.51501,-0.85766,End of Flowering ,4936
Utqiagvik_Wet ,-1.89636,0.671637,-3.21955,-0.54234,End of Flowering ,4720
Utqiagvik_Dry,-2.37636,1.958252,-6.58485,1.292254,Fruiting,2969
Utqiagvik_Wet ,-2.68984,1.965208,-6.85518,0.987122,Fruiting,3111
Utqiagvik_Dry,-2.67224,1.614048,-5.9218,0.545626,Seed Dispersal,1107
Utqiagvik_Wet ,-2.61386,1.700817,-5.92761,0.881991,Seed Dispersal,295
Utqiagvik_Dry,0.834211,0.430192,-0.0333,1.709019,Leaf Senescence ,2901
Utqiagvik_Wet ,0.75638,0.420089,-0.11018,1.556728,Leaf Senescence ,3233
Utqiagvik_Dry,-2.44632,0.869525,-4.15699,-0.61366,Flowering,1318
Daring Lake _Ternplot F,-2.20431,0.837496,-3.84433,-0.47239,Flowering,513
Daring Lake _Ternplot B,-1.78652,0.786248,-3.28522,-0.08268,End of Flowering ,1088
Daring Lake _Ternplot B,-2.30248,2.050937,-6.55234,1.611912,Fruiting,880
Daring Lake _Ternplot F,-2.56062,1.718476,-5.88556,1.122231,Seed Dispersal,436
Endalen _Cassiope,-2.46483,0.771033,-4.05676,-0.98219,Flowering,138
Endalen_Dryas,-2.76443,0.835736,-4.58086,-1.26417,Flowering,136
Endalen_Snowbed,-2.29544,0.802864,-3.89821,-0.67793,Flowering,70
Endalen _Cassiope,-2.00438,0.743527,-3.56672,-0.51819,End of Flowering ,74
Endalen_Dryas,-2.04511,0.764361,-3.67945,-0.6,End of Flowering ,43
Endalen _Cassiope,-2.91442,1.745591,-6.45167,0.513477,Seed Dispersal,37
Endalen_Dryas,-2.97451,1.940535,-7.16845,0.745684,Seed Dispersal,78
Endalen_Snowbed,-3.02209,2.107998,-7.45148,1.119044,Seed Dispersal,24
Faroe Islands _Dry Meadow,-2.57326,0.848984,-4.37796,-0.9926,Flowering,58
Faroe Islands _Dry Meadow,-2.00542,0.756621,-3.5922,-0.52283,End of Flowering ,58
Finse_Alpine Meadow ,-2.36631,0.854845,-4.13389,-0.68846,Flowering,87
Finse_Alpine Moist Heath,-2.48745,0.834007,-4.17792,-0.87143,Flowering,38
Finse_Stony Snowbed ,-2.37154,0.85227,-4.10208,-0.70111,Flowering,75
Finse_Alpine Meadow ,-1.97098,0.88515,-3.80756,-0.21513,End of Flowering ,85
Finse_Alpine Moist Heath,-1.97356,0.769733,-3.53507,-0.44935,End of Flowering ,38
Gavia Pass_Polytrichastrum,-2.37672,0.813135,-4.05997,-0.85068,Flowering,1056
Gavia Pass_Salix,-2.29038,0.800391,-3.89721,-0.69655,Flowering,940
Gavia Pass_Polytrichastrum,-3.10566,2.136181,-7.72148,0.777073,Fruiting,952
Gavia Pass_Salix,-2.52949,2.014774,-6.64019,1.415809,Fruiting,911
Gavia Pass_Polytrichastrum,-3.41518,1.84878,-7.55636,-0.06459,Seed Dispersal,890
Gavia Pass_Salix,-2.98326,1.709713,-6.53343,0.378445,Seed Dispersal,906
Healy _Cipher ,-1.10356,0.785062,-2.89478,0.23029,Green up,493
Healy _Cipher ,0.716757,0.510698,-0.38496,1.686453,Leaf Senescence ,668
Imnavait _Mat,-0.8342,0.685037,-2.33056,0.427569,Green up,816
Imnavait_Mat,0.866508,0.543968,-0.15206,2.064414,Leaf Senescence,519
Jakobshorn_Warmrem ,-0.63487,0.752997,-2.21433,0.873534,Green up,26
Jakobshorn_Warmrem ,-2.54016,0.814248,-4.25953,-0.99901,Flowering,168
Jakobshorn_Warmrem ,-1.93023,0.779203,-3.51571,-0.34675,End of Flowering ,88
Jakobshorn_Warmrem ,0.802663,0.570136,-0.38169,2.035036,Leaf Senescence ,30
Kangerlussuaq_Bashful,-0.97661,0.728946,-2.6226,0.250173,Green up,32
Kangerlussuaq_Doc,-0.78245,0.703857,-2.34101,0.513566,Green up,16
Kangerlussuaq_Dopey,-0.77735,0.692261,-2.29677,0.523236,Green up,48
Kangerlussuaq_Bashful,-2.46502,0.795658,-4.10863,-0.94784,Flowering,46
Kangerlussuaq_Doc,-2.5373,0.804182,-4.1999,-1.03401,Flowering,45
Kangerlussuaq_Dopey,-2.48096,0.806586,-4.15335,-0.94101,Flowering,45
Kangerlussuaq_Bashful,-2.65158,2.036707,-6.86155,1.213713,Fruiting,22
Kangerlussuaq_Doc,-2.60428,2.024482,-6.8734,1.259293,Fruiting,21
Kangerlussuaq_Dopey,-2.71827,2.036146,-7.02947,1.085925,Fruiting,19
Latnjajaure_Dry Meadow,-0.89333,0.758126,-2.56427,0.469271,Green up,50
Latnjajaure_Dry Heath,-2.57201,0.796537,-4.28779,-1.1097,Flowering,50
Latnjajaure_Dry Meadow,-2.41921,0.808295,-4.14293,-0.89084,Flowering,89
Latnjajaure_Tussock Tundra,-2.74336,0.868075,-4.63362,-1.14634,Flowering,50
Latnjajaure_Wet Sedge,-2.39091,0.800203,-4.07242,-0.84363,Flowering,50
Latnjajaure_Dry Heath,-2.08106,0.759093,-3.72587,-0.70377,End of Flowering ,48
