Site:Year,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Alexandra Fiord_2002,-1.9864,0.617522,-3.27431,-0.76946,End of Flowering,259
Alexandra Fiord_2002,-2.55477,1.906218,-6.55355,1.076142,Fruiting,277
Alexandra Fiord_2002,-2.92861,1.501224,-5.88699,-0.00691,Seed Dispersal,25
Alexandra Fiord_2002,0.743375,0.486628,-0.24309,1.686875,Leaf Senescence,64
Alexandra Fiord_2003,-0.68835,0.545146,-1.85037,0.353356,Green up,332
Alexandra Fiord_2003,-2.40358,0.652789,-3.76826,-1.17366,Flowering,231
Alexandra Fiord_2003,-1.95023,0.623153,-3.20834,-0.70273,End of Flowering,187
Alexandra Fiord_2003,-2.38121,1.916978,-6.39178,1.218374,Fruiting,225
Alexandra Fiord_2003,-2.89573,1.492999,-5.86873,0.053341,Seed Dispersal,47
Alexandra Fiord_2003,0.713322,0.444082,-0.1941,1.578109,Leaf Senescence,225
Alexandra Fiord_2004,-0.73264,0.533273,-1.88914,0.246045,Green up,623
Alexandra Fiord_2004,-2.49561,0.656758,-3.88499,-1.28733,Flowering,374
Alexandra Fiord_2004,-1.96479,0.632912,-3.24451,-0.69639,End of Flowering,221
Alexandra Fiord_2004,-2.7956,1.926549,-6.85865,0.890275,Fruiting,229
Alexandra Fiord_2004,-2.98678,1.531939,-6.0681,0.016584,Seed Dispersal,31
Alexandra Fiord_2004,0.828087,0.461305,-0.1019,1.755267,Leaf Senescence,335
Alexandra Fiord_2005,-0.74214,0.536049,-1.9126,0.234868,Green up,673
Alexandra Fiord_2005,-2.48012,0.657855,-3.84525,-1.25519,Flowering,242
Alexandra Fiord_2005,-1.9654,0.622031,-3.24306,-0.74498,End of Flowering,219
Alexandra Fiord_2005,-2.71131,1.917727,-6.75327,0.910833,Fruiting,213
Alexandra Fiord_2005,-2.99038,1.533922,-6.13446,0.008393,Seed Dispersal,36
Alexandra Fiord_2005,0.779082,0.45112,-0.14348,1.671917,Leaf Senescence,240
Alexandra Fiord_2009,-0.73358,0.572238,-2.00094,0.328534,Green up,132
Alexandra Fiord_2009,-2.41201,0.656297,-3.76274,-1.16805,Flowering,185
Alexandra Fiord_2009,-1.98845,0.622579,-3.26697,-0.76567,End of Flowering,169
Alexandra Fiord_2009,-2.57891,1.903866,-6.55163,1.018148,Fruiting,229
Alexandra Fiord_2009,-2.84839,1.504056,-5.8168,0.122528,Seed Dispersal,58
Alexandra Fiord_2009,0.894806,0.472533,-0.01625,1.894178,Leaf Senescence,412
Alexandra Fiord_2010,-0.72742,0.536084,-1.8841,0.244956,Green up,133
Alexandra Fiord_2010,-2.46865,0.653649,-3.8662,-1.2748,Flowering,72
Alexandra Fiord_2010,-1.97567,0.626767,-3.25635,-0.74389,End of Flowering,35
Alexandra Fiord_2010,-2.51366,1.921392,-6.54235,1.077254,Fruiting,76
Alexandra Fiord_2010,-2.90167,1.497575,-5.91035,0.001026,Seed Dispersal,35
Alexandra Fiord_2010,0.615155,0.50449,-0.45637,1.533363,Leaf Senescence,77
Alexandra Fiord_2011,-0.72879,0.546067,-1.90385,0.269029,Green up,56
Alexandra Fiord_2011,-2.43794,0.651896,-3.78602,-1.22426,Flowering,61
Alexandra Fiord_2011,-2.0005,0.632816,-3.30638,-0.78084,End of Flowering,31
Alexandra Fiord_2011,-2.44399,1.911767,-6.45086,1.160972,Fruiting,59
Alexandra Fiord_2011,-2.85162,1.507351,-5.84786,0.129816,Seed Dispersal,24
Alexandra Fiord_2011,0.759786,0.453438,-0.14696,1.662578,Leaf Senescence,20
Alexandra Fiord_2012,-0.73902,0.54542,-1.92698,0.260648,Green up,35
Alexandra Fiord_2012,-2.43615,0.652225,-3.79869,-1.23466,Flowering,184
Alexandra Fiord_2012,-2.01466,0.633911,-3.32523,-0.7572,End of Flowering,153
Alexandra Fiord_2012,-2.40582,1.915308,-6.39524,1.177302,Fruiting,160
Alexandra Fiord_2012,-2.93418,1.486123,-5.91835,-0.05366,Seed Dispersal,111
Alexandra Fiord_2012,0.822425,0.457578,-0.07403,1.742254,Leaf Senescence,182
Alexandra Fiord_2013,-0.72951,0.545359,-1.88595,0.274713,Green up,163
Alexandra Fiord_2013,-2.46293,0.658012,-3.83221,-1.2438,Flowering,207
