Site:Year,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Daring Lake _2001,-2.81774,1.937589,-6.96226,0.857655,Fruiting,45
Daring Lake _2001,-3.08981,1.619078,-6.42892,-0.00064,Seed Dispersal,12
Daring Lake _2002,-2.4988,0.671778,-3.91197,-1.27205,Flowering,104
Daring Lake _2002,-1.98222,0.620162,-3.26476,-0.76424,End of Flowering,67
Daring Lake _2002,-2.63644,1.919691,-6.64294,1.047482,Fruiting,59
Daring Lake _2002,-2.84978,1.51238,-5.80818,0.103817,Seed Dispersal,35
Daring Lake _2003,-2.40791,0.655698,-3.78493,-1.19565,Flowering,111
Daring Lake _2003,-1.98221,0.623835,-3.25259,-0.74533,End of Flowering,65
Daring Lake _2003,-2.49201,1.912885,-6.4558,1.148386,Fruiting,56
Daring Lake _2003,-2.79884,1.523437,-5.8505,0.174737,Seed Dispersal,34
Daring Lake _2004,-2.47306,0.662214,-3.84498,-1.24316,Flowering,90
Daring Lake _2004,-1.93519,0.650788,-3.2393,-0.63424,End of Flowering,71
Daring Lake _2004,-2.68441,1.913756,-6.68512,0.907456,Fruiting,72
Daring Lake _2004,-3.08598,1.606528,-6.36106,-0.03516,Seed Dispersal,5
Daring Lake _2005,-2.4403,0.658188,-3.81017,-1.22931,Flowering,92
Daring Lake _2005,-1.92667,0.654466,-3.23236,-0.61396,End of Flowering,60
Daring Lake _2005,-2.55177,1.914803,-6.57075,1.041774,Fruiting,58
Daring Lake _2005,-3.05899,1.592575,-6.34592,-0.03591,Seed Dispersal,18
Daring Lake _2006,-2.35924,0.678958,-3.74412,-1.04952,Flowering,90
Daring Lake _2006,-2.01977,0.654996,-3.38405,-0.7703,End of Flowering,59
Daring Lake _2006,-2.28939,1.940202,-6.34551,1.406935,Fruiting,42
Daring Lake _2006,-2.76094,1.56355,-5.84833,0.319781,Seed Dispersal,31
Daring Lake _2007,-2.45907,0.649322,-3.81273,-1.25594,Flowering,96
Daring Lake _2007,-1.96536,0.622976,-3.22637,-0.72808,End of Flowering,61
Daring Lake _2007,-2.88732,1.959054,-7.08524,0.807023,Fruiting,35
Daring Lake _2007,-2.97502,1.537422,-6.06751,0.017254,Seed Dispersal,32
Daring Lake _2008,-2.36257,0.682555,-3.76277,-1.07755,Flowering,95
Daring Lake _2008,-1.96479,0.619862,-3.22429,-0.73533,End of Flowering,63
Daring Lake _2008,-2.59296,1.918929,-6.57144,1.066551,Fruiting,37
Daring Lake _2008,-2.90259,1.513716,-5.91085,0.137221,Seed Dispersal,29
Daring Lake _2009,-2.47128,0.664203,-3.85851,-1.22598,Flowering,108
Daring Lake _2009,-1.94593,0.651521,-3.26369,-0.64306,End of Flowering,37
Daring Lake _2009,-2.89216,1.951086,-7.01284,0.839834,Fruiting,53
Daring Lake _2009,-3.06571,1.579824,-6.26062,-5.43E-05,Seed Dispersal,23
Daring Lake _2010,-2.46458,0.651262,-3.8534,-1.27737,Flowering,106
Daring Lake _2010,-1.96171,0.627351,-3.23116,-0.73813,End of Flowering,48
Daring Lake _2010,-2.52478,1.911434,-6.5651,1.051583,Fruiting,41
Daring Lake _2010,-2.9477,1.522949,-5.96897,0.029007,Seed Dispersal,28
Daring Lake _2011,-2.37567,0.675646,-3.76091,-1.10282,Flowering,112
Daring Lake _2011,-1.97122,0.618399,-3.2159,-0.7438,End of Flowering,75
Daring Lake _2011,-2.46232,1.914277,-6.45517,1.17975,Fruiting,60
Daring Lake _2011,-2.80531,1.517771,-5.83123,0.167523,Seed Dispersal,33
Daring Lake _2012,-2.39064,0.654091,-3.76175,-1.20468,Flowering,105
Daring Lake _2012,-2.01628,0.650721,-3.37365,-0.74177,End of Flowering,50
Daring Lake _2012,-2.14111,1.975354,-6.18473,1.60338,Fruiting,44
Daring Lake _2012,-2.5286,1.849545,-6.04779,1.315678,Seed Dispersal,25
Daring Lake _2013,-2.42227,0.659405,-3.78186,-1.17994,Flowering,94
Daring Lake _2013,-1.99465,0.6349,-3.31566,-0.75255,End of Flowering,58
Daring Lake _2013,-2.27952,1.93034,-6.28915,1.386565,Fruiting,37
Daring Lake _2013,-2.88083,1.517042,-5.89405,0.06347,Seed Dispersal,17
Daring Lake _2014,-2.38681,0.668762,-3.77848,-1.12792,Flowering,111
Daring Lake _2014,-2.00752,0.645067,-3.33407,-0.75437,End of Flowering,51
Daring Lake _2015,-2.33908,0.699063,-3.78443,-0.99726,Flowering,91
Daring Lake _2015,-1.98263,0.624923,-3.26059,-0.75524,End of Flowering,50
Daring Lake _2015,-2.72156,1.921279,-6.79244,0.924855,Fruiting,38
Daring Lake _2015,-2.99263,1.53695,-6.09797,0.004505,Seed Dispersal,21
Daring Lake _2016,-2.40492,0.657417,-3.78156,-1.18164,Flowering,100
Daring Lake _2016,-2.02062,0.656975,-3.37072,-0.73258,End of Flowering,48
Daring Lake _2016,-2.33272,1.949426,-6.34527,1.347697,Fruiting,29
Daring Lake _2016,-2.74543,1.582366,-5.85818,0.395311,Seed Dispersal,21
Daring Lake _2017,-2.41827,0.65684,-3.81754,-1.19635,Flowering,113
Daring Lake _2017,-1.9922,0.631903,-3.26967,-0.73801,End of Flowering,68
Daring Lake _2017,-2.47428,1.914925,-6.51684,1.155663,Fruiting,68
Daring Lake _2017,-2.77159,1.555364,-5.85459,0.337744,Seed Dispersal,40
Daring Lake _2018,-2.50931,0.679338,-3.94673,-1.25209,Flowering,104
Daring Lake _2018,-1.98233,0.623347,-3.28156,-0.75118,End of Flowering,72
Daring Lake _2018,-2.59838,1.918996,-6.62832,1.022588,Fruiting,66
Daring Lake _2018,-2.93841,1.506593,-5.92302,-0.02832,Seed Dispersal,32
Daring Lake _2019,-2.53977,0.705109,-4.02848,-1.25648,Flowering,40
Daring Lake _2019,-1.98984,0.630796,-3.29958,-0.73888,End of Flowering,40
Daring Lake _2019,-2.98567,1.998849,-7.19316,0.764811,Fruiting,40
Endalen_2002,-2.42168,0.657138,-3.79087,-1.17922,Flowering,76
Endalen_2002,-1.99078,0.624941,-3.28099,-0.75568,End of Flowering,30
Endalen_2002,-2.92448,1.509516,-5.96648,0.03936,Seed Dispersal,36
Endalen_2003,-2.47646,0.655766,-3.83892,-1.26823,Flowering,93
Endalen_2003,-1.97993,0.622546,-3.27271,-0.75691,End of Flowering,29
Endalen_2003,-2.88707,1.507452,-5.89141,0.116404,Seed Dispersal,35
Endalen_2004,-2.44239,0.654527,-3.82012,-1.21044,Flowering,90
Endalen_2004,-1.99992,0.631396,-3.27809,-0.74799,End of Flowering,30
Endalen_2004,-2.84323,1.513447,-5.86195,0.179744,Seed Dispersal,33
Endalen_2005,-2.44268,0.649251,-3.80321,-1.24645,Flowering,85
Endalen_2005,-1.98443,0.626148,-3.27512,-0.74629,End of Flowering,28
Endalen_2005,-2.97002,1.508391,-5.97713,0.009812,Seed Dispersal,35
Faroe Islands_2002,-2.4432,0.658124,-3.82392,-1.22636,Flowering,13
Faroe Islands _2002,-1.95082,0.646138,-3.26511,-0.68324,End of Flowering,13
Faroe Islands _2007,-2.4347,0.667019,-3.82492,-1.20726,Flowering,15
Faroe Islands _2007,-1.97585,0.623929,-3.25773,-0.74158,End of Flowering,15
Faroe Islands _2008,-2.44055,0.66746,-3.83484,-1.19713,Flowering,15
Faroe Islands _2008,-1.98975,0.626378,-3.28439,-0.7367,End of Flowering,15
Faroe Islands _2009,-2.44197,0.656319,-3.82077,-1.22374,Flowering,15
Faroe Islands _2009,-2.01444,0.654557,-3.35469,-0.73855,End of Flowering,15
Finse_1994,-2.45241,0.657615,-3.81188,-1.23582,Flowering,81
Finse_1994,-1.9787,0.625769,-3.24818,-0.74426,End of Flowering,79
Finse_1995,-2.49822,0.674518,-3.91928,-1.25829,Flowering,60
Finse_1995,-1.98703,0.633186,-3.30305,-0.75161,End of Flowering,22
Finse_1996,-2.39957,0.665087,-3.77713,-1.1568,Flowering,59
Finse_1996,-1.93475,0.646246,-3.22284,-0.62267,End of Flowering,22
Gaviapass_2010,-2.43028,0.652157,-3.78217,-1.20878,Flowering,501
Gaviapass_2010,-2.59316,1.91492,-6.61848,1.040421,Fruiting,414
Gaviapass_2010,-2.96708,1.488559,-5.98237,-0.07225,Seed Dispersal,439
Gaviapass_2011,-2.363,0.687755,-3.7736,-1.06616,Flowering,548
Gaviapass_2011,-2.22784,1.943628,-6.24495,1.47655,Fruiting,471
Gaviapass_2011,-2.80803,1.538828,-5.83177,0.280703,Seed Dispersal,542
Gaviapass_2012,-2.35345,0.676578,-3.74627,-1.07312,Flowering,382
Gaviapass_2012,-2.07878,1.971128,-6.15099,1.617325,Fruiting,384
Gaviapass_2012,-2.70696,1.612459,-5.84021,0.556475,Seed Dispersal,396
Gaviapass_2013,-2.49872,0.681223,-3.91568,-1.22565,Flowering,271
Gaviapass_2013,-2.83809,1.944889,-6.92016,0.812098,Fruiting,299
Gaviapass_2013,-3.00724,1.534282,-6.1053,-0.02734,Seed Dispersal,279
Gaviapass_2014,-2.56788,0.720423,-4.08714,-1.26317,Flowering,294
Gaviapass_2014,-3.37102,2.117066,-7.79133,0.581293,Fruiting,295
Gaviapass_2014,-3.26999,1.844362,-7.29808,0.192427,Seed Dispersal,140
Healy_2013,-0.71013,0.582493,-1.96368,0.382274,Green up,95
Healy_2013,0.741386,0.446436,-0.17049,1.615981,Leaf Senescence,94
Healy_2014,-0.73588,0.554957,-1.94319,0.29769,Green up,93
Healy_2014,0.713581,0.452023,-0.20996,1.576169,Leaf Senescence,119
Healy_2015,-0.7509,0.556016,-1.96796,0.267867,Green up,93
Healy_2015,0.754102,0.450631,-0.16532,1.638488,Leaf Senescence,119
Healy_2016,-0.74772,0.568821,-1.99546,0.298261,Green up,95
Healy_2016,0.752239,0.444163,-0.14798,1.619532,Leaf Senescence,118
Healy_2017,-0.75078,0.548715,-1.96969,0.252901,Green up,93
Healy_2017,0.820968,0.455291,-0.08925,1.749504,Leaf Senescence,119
Healy_2018,-0.73619,0.563928,-1.97292,0.30617,Green up,24
Healy_2018,0.742181,0.44569,-0.1857,1.594852,Leaf Senescence,99
Imnavait_2010,-0.74373,0.562122,-1.97779,0.309309,Green up,237
Imnavait_2010,0.955519,0.531214,-0.02961,2.126329,Leaf Senescence,132
Imnavait_2011,-0.74175,0.54087,-1.91059,0.239414,Green up,275
Imnavait_2011,0.681514,0.47842,-0.31519,1.610679,Leaf Senescence,304
Imnavait_2012,-0.71296,0.550158,-1.8901,0.329354,Green up,304
Imnavait_2012,0.757458,0.468673,-0.22128,1.672274,Leaf Senescence,83
Jakobshorn_2015,-0.72658,0.559642,-1.95495,0.312501,Green up,26
Jakobshorn_2015,-2.4789,0.659697,-3.87016,-1.25768,Flowering,168
Jakobshorn_2015,-1.94577,0.635931,-3.22822,-0.67939,End of Flowering,88
Jakobshorn_2015,0.820119,0.492005,-0.13899,1.817237,Leaf Senescence,30
Kangerlussuaq_2003,-0.76886,0.551196,-1.97113,0.222131,Green up,48
Kangerlussuaq_2003,-2.43254,0.655799,-3.81692,-1.21679,Flowering,94
Kangerlussuaq_2003,-2.5369,1.939719,-6.61516,1.186018,Fruiting,60
Kangerlussuaq_2004,-0.741,0.543716,-1.93239,0.261648,Green up,48
Kangerlussuaq_2004,-2.43834,0.65398,-3.80245,-1.22511,Flowering,42
Latnjajaure_1993,-0.73604,0.553051,-1.93613,0.298165,Green up,10
Latnjajaure_1993,-2.44493,0.654031,-3.80583,-1.23334,Flowering,40
Latnjajaure_1993,-1.98191,0.627276,-3.26633,-0.75368,End of Flowering,30
Latnjajaure_1993,-2.88147,1.512013,-5.93557,0.12418,Seed Dispersal,29
Latnjajaure_1993,0.831283,0.47284,-0.08317,1.797757,Leaf Senescence,20
Latnjajaure_1994,-0.73973,0.553893,-1.94775,0.295993,Green up,10
Latnjajaure_1994,-2.46993,0.656102,-3.82982,-1.23585,Flowering,50
Latnjajaure_1994,-1.98575,0.628282,-3.27669,-0.74526,End of Flowering,29
Latnjajaure_1994,-2.99382,1.509944,-6.09786,-0.04766,Seed Dispersal,26
Latnjajaure_1994,0.700776,0.471568,-0.31093,1.604788,Leaf Senescence,20
Latnjajaure_1995,-0.73187,0.548702,-1.93906,0.279155,Green up,10
Latnjajaure_1995,-2.4807,0.667343,-3.86106,-1.24672,Flowering,50
Latnjajaure_1995,-1.96391,0.634599,-3.23855,-0.71348,End of Flowering,30
Latnjajaure_1995,-3.03619,1.581953,-6.22487,0.01365,Seed Dispersal,18
Latnjajaure_1995,0.747191,0.464218,-0.20437,1.66466,Leaf Senescence,20
Latnjajaure_1996,-0.72324,0.560514,-1.9336,0.321985,Green up,10
Latnjajaure_1996,-2.49723,0.658579,-3.87211,-1.28248,Flowering,50
Latnjajaure_1996,-1.99305,0.631348,-3.28179,-0.76104,End of Flowering,28
Latnjajaure_1996,-3.00186,1.517365,-6.09798,-0.10831,Seed Dispersal,28
Latnjajaure_1996,0.610749,0.514131,-0.49898,1.532639,Leaf Senescence,20
Latnjajaure_1997,-0.73919,0.563625,-1.96919,0.326851,Green up,10
Latnjajaure_1997,-2.36196,0.684302,-3.76799,-1.05856,Flowering,49
Latnjajaure_1997,-2.03723,0.677646,-3.45964,-0.72184,End of Flowering,10
Latnjajaure_1997,-2.74426,1.605296,-5.89434,0.45408,Seed Dispersal,17
Latnjajaure_1997,0.873058,0.489887,-0.07151,1.898792,Leaf Senescence,20
Niwot Ridge_1995,-2.58633,0.778231,-4.22869,-1.16937,Flowering,53
Niwot Ridge_1995,-1.91051,0.708322,-3.30706,-0.48335,End of Flowering,94
Niwot Ridge_1996,-2.2969,0.751157,-3.78196,-0.81005,Flowering,115
Niwot Ridge_1996,-2.03335,0.690998,-3.46394,-0.6847,End of Flowering,115
Niwot Ridge_2007,-2.40135,0.67074,-3.79694,-1.15177,Flowering,118
Niwot Ridge_2007,-1.97599,0.643852,-3.30013,-0.69863,End of Flowering,111
Niwot Ridge_2008,-2.41181,0.658352,-3.78729,-1.18259,Flowering,40
Niwot Ridge_2018,-0.766,0.613028,-2.0983,0.363263,Green up,124
Niwot Ridge_2018,-2.38921,0.669402,-3.77132,-1.12435,Flowering,182
Niwot Ridge_2018,-2.0194,0.682738,-3.415,-0.68044,End of Flowering,145
Niwot Ridge_2018,1.038541,0.611317,-0.04678,2.424615,Leaf Senescence,118
Niwot Ridge_2019,-0.68212,0.64937,-2.07056,0.597809,Green up,187
Niwot Ridge_2019,-2.5227,0.694769,-4.00131,-1.24655,Flowering,127
Niwot Ridge_2019,-1.91774,0.66856,-3.24568,-0.58029,End of Flowering,128
Niwot Ridge_2019,0.458201,0.635114,-0.96368,1.55509,Leaf Senescence,288
Toolik Lake _1995,-0.71645,0.56267,-1.93894,0.325252,Green up,24
Toolik Lake _1995,-2.43969,0.652104,-3.7878,-1.2312,Flowering,41
Toolik Lake _1995,-1.99481,0.622414,-3.28258,-0.74719,End of Flowering,27
Toolik Lake _1995,-2.64754,1.771846,-6.09636,1.00168,Seed Dispersal,14
Toolik Lake _1996,-2.44527,0.662187,-3.81713,-1.21115,Flowering,109
Toolik Lake _1996,-1.97169,0.628978,-3.24862,-0.72803,End of Flowering,86
Toolik Lake _1996,-2.98019,1.509142,-6.04033,-0.0709,Seed Dispersal,17
Toolik Lake _1996,0.644783,0.480585,-0.3631,1.560405,Leaf Senescence,139
Toolik Lake _1997,-0.77618,0.538955,-1.96788,0.170494,Green up,163
Toolik Lake _1997,-2.41722,0.653165,-3.78176,-1.21049,Flowering,129
Toolik Lake _1997,-1.96992,0.621218,-3.23581,-0.74409,End of Flowering,87
Toolik Lake _1997,-2.86434,1.496278,-5.84074,0.098625,Seed Dispersal,49
Toolik Lake _1997,0.865198,0.469417,-0.05782,1.813879,Leaf Senescence,163
Toolik Lake _1998,-0.74847,0.601252,-2.04733,0.379489,Green up,166
Toolik Lake _1998,-2.35796,0.683687,-3.76587,-1.04118,Flowering,134
Toolik Lake _1998,-2.02632,0.6457,-3.35763,-0.76845,End of Flowering,91
Toolik Lake_1998,-2.85394,1.49553,-5.82387,0.067653,Seed Dispersal,64
Toolik Lake _1998,0.828811,0.451425,-0.05645,1.741675,Leaf Senescence,147
Toolik Lake _1999,-0.72571,0.535932,-1.89612,0.256051,Green up,167
Toolik Lake _1999,-2.42,0.654428,-3.78131,-1.18834,Flowering,131
Toolik Lake _1999,-2.01403,0.639728,-3.3355,-0.76545,End of Flowering,86
Toolik Lake _1999,-2.93421,1.496902,-5.92522,-0.03257,Seed Dispersal,52
Toolik Lake _1999,0.989098,0.52081,0.042579,2.147743,Leaf Senescence,157
Toolik Lake _2000,-0.70705,0.558786,-1.91145,0.32744,Green up,168
Toolik Lake _2000,-2.51016,0.657435,-3.90592,-1.30826,Flowering,145
Toolik Lake _2000,-1.95659,0.634791,-3.23661,-0.68637,End of Flowering,90
Toolik Lake _2000,-3.00194,1.549894,-6.19746,0.013171,Seed Dispersal,43
Toolik Lake _2000,0.645022,0.464493,-0.35109,1.513722,Leaf Senescence,160
Toolik Lake _2001,-0.70548,0.540399,-1.86479,0.305616,Green up,167
Toolik Lake _2001,-2.46445,0.664123,-3.82915,-1.23163,Flowering,132
Toolik Lake _2001,-1.95258,0.63139,-3.23367,-0.70107,End of Flowering,67
Toolik Lake _2001,-3.0078,1.551948,-6.22299,0.025759,Seed Dispersal,59
Toolik Lake _2001,0.724629,0.445697,-0.20867,1.589622,Leaf Senescence,151
Toolik Lake _2002,-0.74185,0.562034,-1.95438,0.297562,Green up,10
Toolik Lake _2002,-2.40778,0.663155,-3.77192,-1.17187,Flowering,112
Toolik Lake _2002,-2.01907,0.629478,-3.30178,-0.79146,End of Flowering,68
Toolik Lake _2002,-2.84441,1.48791,-5.82667,0.057948,Seed Dispersal,49
Toolik Lake_2002,0.79423,0.443146,-0.09164,1.686099,Leaf Senescence,166
Val Bercla_2014,-2.41872,0.668802,-3.79871,-1.15746,Flowering,73
Val Bercla_2014,-1.93448,0.652913,-3.25823,-0.62516,End of Flowering,54
Val Bercla_2015,-2.46169,0.664473,-3.85566,-1.23786,Flowering,85
Val Bercla_2015,-2.00749,0.643654,-3.30897,-0.74688,End of Flowering,73
White Mts_2013,-2.41034,0.671804,-3.83195,-1.15921,Flowering,18
