Genus,Species,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Carex,rotundata,-0.72606,0.532938,-1.87358,0.274136,Green up,59
Carex,rotundata,-2.7232,1.955107,-6.77721,0.97066,Fruiting,9
Carex,rotundata,0.904463,0.610722,-0.23199,2.26235,Leaf Senescence,40
Carex,rupestris,-2.64552,0.859533,-4.47398,-1.06591,Flowering,34
Carex,rupestris,-2.9753,1.594743,-6.19219,0.140322,Seed Dispersal,36
Carex,scopulorum,-2.13052,0.882367,-3.87909,-0.37859,Flowering,6
Carex,spp.,-0.70866,0.547169,-1.88529,0.294576,Green up,261
Carex,spp.,-2.49451,0.873537,-4.29388,-0.7971,Flowering,31
Carex,spp.,-1.857412,0.666928,-3.184791,-0.5117771,End of Flowering,28
Carex,spp.,0.871965,0.632801,-0.36626,2.227023,Leaf Senescence,218
Carex,subspathacea,-0.65034,0.614924,-1.95077,0.553368,Green up,112
Carex,subspathacea,-2.66351,0.858813,-4.44293,-0.96068,Flowering,91
Carex,subspathacea,-1.884367,0.6979977,-3.289754,-0.4186881,End of Flowering,94
Carex,subspathacea,-2.59043,1.930058,-6.68362,1.058593,Fruiting,34
Carex,subspathacea,0.750975,0.55263,-0.39148,1.870542,Leaf Senescence,44
Carex,supina,-2.31418,0.865415,-4.11198,-0.62121,Flowering,28
Carex,supina,-2.55432,1.928217,-6.58104,1.117388,Fruiting,17
Cassiope,tetragona,-0.75401,0.519731,-1.8996,0.181847,Green up,2416
Cassiope,tetragona,-2.76692,0.776139,-4.44017,-1.38858,Flowering,2268
Cassiope,tetragona,-1.875991,0.6843253,-3.288067,-0.4657921,End of Flowering,1654
Cassiope,tetragona,-2.59594,1.910467,-6.68633,0.961922,Fruiting,1591
Cassiope,tetragona,-3.00805,1.559813,-6.18427,0.067502,Seed Dispersal,330
Cassiope,tetragona,0.706242,0.494724,-0.32596,1.67332,Leaf Senescence,940
Castilleja,occidentalis,-1.921761,0.635969,-3.229416,-0.6711736,End of Flowering,6
Cerastium,alpinum,-0.78366,0.545958,-1.98937,0.231473,Green up,48
Cerastium,alpinum,-2.321,0.838591,-4.06305,-0.70076,Flowering,29
Cerastium,beeringianum,-0.72417,0.537363,-1.90948,0.236083,Green up,290
Cerastium,beeringianum,-3.69008,1.162235,-6.21744,-1.70388,Flowering,77
Cerastium,beeringianum,-1.932514,0.6836468,-3.345309,-0.5906952,End of Flowering,32
Cerastium,beeringianum,0.792837,0.570357,-0.40722,1.980943,Leaf Senescence,96
Chrysosplenium,tetrandrum,-0.71017,0.538963,-1.85723,0.288258,Green up,33
Cochlearia,officinalis,-0.74285,0.524527,-1.87943,0.216315,Green up,350
Cochlearia,officinalis,-2.04078,0.86655,-3.712,-0.23786,Flowering,73
Cochlearia,officinalis,-1.805164,0.6744469,-3.135442,-0.4101738,End of Flowering,59
Cochlearia,officinalis,-2.3944,1.940356,-6.45412,1.32998,Fruiting,71
Cochlearia,officinalis,0.744374,0.526274,-0.35541,1.782364,Leaf Senescence,133
Deschampsia,cespitosa,-2.65415,0.886225,-4.59832,-1.00644,Flowering,139
Deschampsia,cespitosa,-1.958632,0.7620193,-3.526275,-0.4575781,End of Flowering,91
Deschampsia,flexuosa,-1.857764,0.6754889,-3.197039,-0.4599839,End of Flowering,4
Diapensia,lapponica,-0.73546,0.533278,-1.87741,0.231979,Green up,575
Diapensia,lapponica,-2.24277,0.811611,-3.88909,-0.6658,Flowering,619
Diapensia,lapponica,-1.804399,0.6624967,-3.12534,-0.4265237,End of Flowering,662
Diapensia,lapponica,-2.48276,1.921147,-6.64486,1.105796,Fruiting,593
Diapensia,lapponica,-2.871,1.584816,-6.03902,0.308317,Seed Dispersal,201
Diapensia,lapponica,0.709255,0.525435,-0.41506,1.697967,Leaf Senescence,437
Draba,lactea,-0.71586,0.530096,-1.86325,0.260948,Green up,358
Draba,lactea,-1.88033,0.831807,-3.48504,-0.1372,Flowering,386
Draba,lactea,-1.806776,0.6817171,-3.177608,-0.3921849,End of Flowering,286
Draba,lactea,-2.42604,1.937064,-6.47205,1.234531,Fruiting,376
Draba,lactea,-2.89735,1.574042,-6.04135,0.253767,Seed Dispersal,23
Draba,lactea,0.746519,0.519859,-0.35563,1.767471,Leaf Senescence,171
Draba,micropetala,-0.7476,0.529536,-1.9068,0.217269,Green up,165
Draba,micropetala,-1.9361,0.891665,-3.72589,-0.13154,Flowering,118
Draba,micropetala,-1.752276,0.7236185,-3.140009,-0.2293372,End of Flowering,58
Draba,micropetala,-2.24507,2.010989,-6.36799,1.62232,Fruiting,114
Draba,micropetala,-2.95495,1.553392,-6.16156,0.113697,Seed Dispersal,54
Draba,micropetala,0.73795,0.555088,-0.45534,1.823587,Leaf Senescence,46
Draba,spp.,-2.12119,0.87693,-3.88527,-0.31898,Flowering,31
Draba,spp.,-2.59452,1.931692,-6.62664,1.035123,Fruiting,21
Dryas,integrifolia,-0.80161,0.546848,-1.96948,0.217602,Green up,1780
Dryas,integrifolia,-2.79326,0.796838,-4.52546,-1.37534,Flowering,1400
Dryas,integrifolia,-1.95433,0.6411688,-3.281877,-0.6926797,End of Flowering,1384
Dryas,integrifolia,-2.74217,1.934341,-6.84282,0.893483,Fruiting,1109
Dryas,integrifolia,-2.97912,1.538687,-6.11159,0.048727,Seed Dispersal,428
Dryas,integrifolia,0.802319,0.502105,-0.17805,1.873501,Leaf Senescence,1413
Dryas,octopetala,-0.79713,0.552064,-1.98777,0.212283,Green up,143
Dryas,octopetala,-2.64121,0.803175,-4.34728,-1.17431,Flowering,210
Dryas,octopetala,-1.958051,0.641506,-3.293678,-0.7123287,End of Flowering,196
Dryas,octopetala,-3.08516,1.524942,-6.16081,-0.1021,Seed Dispersal,173
Dryas,octopetala,0.730343,0.53747,-0.42847,1.77813,Leaf Senescence,140
Dupontia,fisheri,-0.71012,0.528849,-1.83271,0.278097,Green up,1470
Dupontia,fisheri,-2.32738,0.798235,-3.95822,-0.73413,Flowering,810
Dupontia,fisheri,-1.893099,0.6577538,-3.234571,-0.5657236,End of Flowering,676
Dupontia,fisheri,-2.81656,1.963874,-6.96032,0.832216,Fruiting,235
Dupontia,fisheri,-2.89875,1.617737,-6.13024,0.365133,Seed Dispersal,42
Dupontia,fisheri,0.957256,0.537191,0.021073,2.206268,Leaf Senescence,727
Empetrum,nigrum,-0.74421,0.529535,-1.90782,0.219152,Green up,25
Empetrum,nigrum,-1.83685,0.916456,-3.66124,-0.02091,Flowering,45
Empetrum,nigrum,-2.87698,1.57304,-6.01274,0.262484,Seed Dispersal,13
Empetrum,nigrum,0.770005,0.535332,-0.34141,1.858151,Leaf Senescence,35
Eriophorum,angustifolium,-0.77092,0.53664,-1.93633,0.223016,Green up,438
Eriophorum,angustifolium,-2.36314,0.802325,-4.08601,-0.8759,Flowering,553
Eriophorum,angustifolium,-1.932956,0.655561,-3.325178,-0.6578083,End of Flowering,592
Eriophorum,angustifolium,-2.71706,1.926596,-6.80737,0.90239,Fruiting,483
Eriophorum,angustifolium,-2.82691,1.54962,-5.89757,0.297171,Seed Dispersal,336
Eriophorum,angustifolium,0.775441,0.512538,-0.25811,1.839624,Leaf Senescence,366
Eriophorum,chamissonis,-2.39732,0.806342,-4.09476,-0.8565,Flowering,293
