Genus,Species,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Salix,phlebophylla,-0.74449,0.531372,-1.87116,0.233988,Green up,142
Salix,phlebophylla,-2.50766,0.87613,-4.44278,-0.95411,Flowering,89
Salix,phlebophylla,-1.817643,0.6846106,-3.197028,-0.4352867,End of Flowering,80
Salix,phlebophylla,-2.51042,1.929874,-6.54867,1.188573,Fruiting,61
Salix,phlebophylla,-2.97088,1.587046,-6.16173,0.202872,Seed Dispersal,47
Salix,phlebophylla,0.628812,0.630885,-0.86398,1.724147,Leaf Senescence,86
Salix,polaris,-0.74036,0.529486,-1.89376,0.218269,Green up,345
Salix,polaris,-2.00373,0.809038,-3.61465,-0.39048,Flowering,377
Salix,polaris,-1.79867,0.6700424,-3.13148,-0.4228481,End of Flowering,292
Salix,polaris,-2.47443,1.925603,-6.55651,1.114315,Fruiting,233
Salix,polaris,-3.18443,1.559778,-6.47942,-0.23577,Seed Dispersal,308
Salix,polaris,0.690121,0.552757,-0.50447,1.756953,Leaf Senescence,302
Salix,pulchra,-0.75035,0.525702,-1.86604,0.222032,Green up,631
Salix,pulchra,-2.05946,0.889634,-3.85353,-0.23884,Flowering,36
Salix,pulchra,-1.825636,0.6732588,-3.165262,-0.4173,End of Flowering,23
Salix,pulchra,-2.53868,1.934739,-6.60986,1.068363,Fruiting,18
Salix,pulchra,-2.94969,1.589797,-6.16922,0.179164,Seed Dispersal,25
Salix,pulchra,0.708183,0.514855,-0.36942,1.702605,Leaf Senescence,405
Salix,reticulata,-2.26898,0.908908,-4.13672,-0.47128,Flowering,14
Salix,retusa,-0.73433,0.533225,-1.89756,0.242836,Green up,73
Salix,retusa,-2.26555,0.825007,-3.97996,-0.65057,Flowering,95
Salix,retusa,-1.86117,0.6719697,-3.213075,-0.4872745,End of Flowering,23
Salix,retusa,-2.86988,1.678077,-6.2827,0.512738,Seed Dispersal,23
Salix,retusa,1.010623,0.814875,-0.48674,2.906795,Leaf Senescence,70
Saxifraga,cernua,-0.64973,0.645634,-2.01337,0.597855,Green up,946
Saxifraga,cernua,-1.89194,0.86006,-3.50014,-0.0932,Flowering,685
Saxifraga,cernua,-1.866948,0.6917469,-3.250213,-0.4382683,End of Flowering,232
Saxifraga,cernua,-2.14572,2.018616,-6.22585,1.74632,Fruiting,336
Saxifraga,cernua,0.751162,0.515143,-0.3241,1.768896,Leaf Senescence,470
Saxifraga,foliolosa,-0.72261,0.538412,-1.91695,0.248482,Green up,816
Saxifraga,foliolosa,-1.86107,0.838869,-3.48874,-0.14738,Flowering,510
Saxifraga,foliolosa,-1.902099,0.6781516,-3.274558,-0.5501831,End of Flowering,105
Saxifraga,foliolosa,-2.48507,1.943893,-6.5544,1.183551,Fruiting,47
Saxifraga,foliolosa,0.675425,0.529634,-0.51082,1.657314,Leaf Senescence,255
Saxifraga,hieraciifolia,-0.77513,0.546094,-1.96281,0.229731,Green up,605
Saxifraga,hieraciifolia,-2.85408,0.854892,-4.71616,-1.36443,Flowering,436
Saxifraga,hieraciifolia,-1.863838,0.6523201,-3.167165,-0.5311396,End of Flowering,276
Saxifraga,hieraciifolia,-2.6286,1.932445,-6.66722,1.004783,Fruiting,271
Saxifraga,hieraciifolia,-2.88991,1.571592,-6.02095,0.298453,Seed Dispersal,20
Saxifraga,hieraciifolia,0.724575,0.517989,-0.38442,1.721162,Leaf Senescence,219
Saxifraga,hirculus,-0.71234,0.544586,-1.8953,0.290404,Green up,377
Saxifraga,hirculus,-2.23843,0.818253,-3.95462,-0.66972,Flowering,319
Saxifraga,hirculus,-1.885863,0.6612468,-3.227472,-0.5509327,End of Flowering,264
Saxifraga,hirculus,-2.67057,1.934667,-6.71109,0.971331,Fruiting,160
Saxifraga,hirculus,0.746935,0.521756,-0.37483,1.78801,Leaf Senescence,203
Saxifraga,nivalis,-0.75456,0.527512,-1.89899,0.212018,Green up,28
Saxifraga,oppositifolia,-0.8985,0.760519,-2.58642,0.528701,Green up,571
Saxifraga,oppositifolia,-1.91921,0.905389,-3.75622,-0.15849,Flowering,491
Saxifraga,oppositifolia,-1.769747,0.7069748,-3.159104,-0.3032944,End of Flowering,652
Saxifraga,oppositifolia,-2.28736,1.956355,-6.35413,1.481048,Fruiting,287
Saxifraga,oppositifolia,-2.89233,1.862369,-6.68136,0.966517,Seed Dispersal,32
Saxifraga,punctata,-0.65905,0.606069,-1.96075,0.497132,Green up,690
Saxifraga,punctata,-2.50187,0.804258,-4.18057,-0.9664,Flowering,678
Saxifraga,punctata,-1.841386,0.6518718,-3.134452,-0.483961,End of Flowering,621
Saxifraga,punctata,-2.53145,1.919665,-6.63173,1.079062,Fruiting,484
Saxifraga,punctata,-2.937,1.554302,-6.0431,0.204862,Seed Dispersal,101
Saxifraga,punctata,0.683179,0.526991,-0.49119,1.667028,Leaf Senescence,427
Scorzoneroides,autumnalis,-3.13817,1.063198,-5.43888,-1.2542,Flowering,21
Scorzoneroides,autumnalis,-1.983461,0.7506996,-3.548581,-0.5332308,End of Flowering,19
Scorzoneroides,helvetica,-2.54578,0.887103,-4.42587,-0.85708,Flowering,13
Scorzoneroides,helvetica,-1.891905,0.6672791,-3.242004,-0.5490481,End of Flowering,9
Silene,acaulis,-2.33743,0.874132,-4.1712,-0.63082,Flowering,117
Silene,acaulis,-1.879333,0.6552461,-3.217405,-0.5513697,End of Flowering,117
Silene,uralensis,-2.90155,0.958454,-4.89375,-1.11546,Flowering,16
Silene,uralensis,-1.901145,0.6703818,-3.270267,-0.5449686,End of Flowering,8
Stellaria,crassipes,-0.73431,0.538705,-1.90141,0.25793,Green up,47
Stellaria,crassipes,-2.84846,0.910464,-4.77793,-1.15432,Flowering,33
Stellaria,crassipes,-1.934988,0.709161,-3.372938,-0.5125618,End of Flowering,33
Stellaria,Humifusa,-0.66465,0.599441,-1.93664,0.491537,Green up,14
Stellaria,longipes,-0.72983,0.542358,-1.91523,0.257028,Green up,16
Stellaria,longipes,-2.54576,0.77766,-4.17519,-1.05773,Flowering,993
Stellaria,longipes,-1.947915,0.6639958,-3.34553,-0.6492753,End of Flowering,768
Stellaria,longipes,-2.75012,1.979741,-6.9077,0.903575,Fruiting,73
Tephroseris,integrifolia,-1.72914,0.922883,-3.45031,0.251776,Flowering,153
Tephroseris,integrifolia,-1.934957,0.7120883,-3.39597,-0.5129538,End of Flowering,106
Trifolium,andersonii,-2.17873,0.954913,-4.09203,-0.22819,Flowering,18
Trisetum,spicatum,-0.71336,0.536776,-1.86813,0.258879,Green up,446
Trisetum,spicatum,-3.08568,1.030444,-5.29424,-1.21239,Flowering,12
Trisetum,spicatum,0.748845,0.520039,-0.31528,1.811781,Leaf Senescence,196
Vaccinium,myrtillus,-0.72517,0.557673,-1.92006,0.324934,Green up,14
Vaccinium,myrtillus,-2.08591,0.883426,-3.86526,-0.28157,Flowering,13
Vaccinium,myrtillus,-1.908824,0.6865505,-3.310292,-0.5194743,End of Flowering,9
Vaccinium,myrtillus,0.753084,0.567071,-0.42062,1.884318,Leaf Senescence,14
Vaccinium,uliginosum,-0.71977,0.537379,-1.89936,0.249907,Green up,152
Vaccinium,uliginosum,0.760086,0.526489,-0.33884,1.84451,Leaf Senescence,181
Vaccinium,vitis-idaea,-0.7228,0.527106,-1.87037,0.24272,Green up,851
Vaccinium,vitis-idaea,-2.35278,0.788493,-3.95237,-0.77522,Flowering,1450
Vaccinium,vitis-idaea,-1.839354,0.6501855,-3.144332,-0.528415,End of Flowering,1219
Vaccinium,vitis-idaea,-2.72159,1.949975,-6.76811,0.899107,Fruiting,644
Vaccinium,vitis-idaea,-2.74572,1.665807,-6.02346,0.700613,Seed Dispersal,39
Vaccinium,vitis-idaea,0.700402,0.559157,-0.54241,1.720519,Leaf Senescence,666
Veronica,alpina,-2.39204,0.833816,-4.14876,-0.78231,Flowering,600
Veronica,alpina,-2.83836,1.967246,-6.94576,0.882094,Fruiting,615
Veronica,alpina,-3.02569,1.593191,-6.26046,0.095372,Seed Dispersal,478
