"","subsite","year","treatment","spp","phen_stage","ct","ct_na","site_name"
"50","GAVIAPASS.SALIX.MC",2011,"OTC","CARALP","unopened_buds",60,0,"GAVIAPASS"
"51","GAVIAPASS.SALIX.MC",2011,"OTC","LEUALP","anthesis",37,0,"GAVIAPASS"
"52","GAVIAPASS.SALIX.MC",2011,"OTC","LEUALP","expanding_fruits",37,27,"GAVIAPASS"
"53","GAVIAPASS.SALIX.MC",2011,"OTC","LEUALP","initiated_fruits",37,12,"GAVIAPASS"
"54","GAVIAPASS.SALIX.MC",2011,"OTC","LEUALP","seed_dispersal",37,0,"GAVIAPASS"
"55","GAVIAPASS.SALIX.MC",2011,"OTC","LEUALP","unopened_buds",37,2,"GAVIAPASS"
"56","GAVIAPASS.SALIX.MC",2011,"OTC","VERALP","anthesis",46,2,"GAVIAPASS"
"57","GAVIAPASS.SALIX.MC",2011,"OTC","VERALP","expanding_fruits",46,2,"GAVIAPASS"
"58","GAVIAPASS.SALIX.MC",2011,"OTC","VERALP","initiated_fruits",46,13,"GAVIAPASS"
"59","GAVIAPASS.SALIX.MC",2011,"OTC","VERALP","seed_dispersal",46,0,"GAVIAPASS"
"60","GAVIAPASS.SALIX.MC",2011,"OTC","VERALP","unopened_buds",46,0,"GAVIAPASS"
"61","GAVIAPASS.SALIX.MC",2012,"CTL","CARALP","anthesis",44,0,"GAVIAPASS"
"62","GAVIAPASS.SALIX.MC",2012,"CTL","CARALP","expanding_fruits",44,0,"GAVIAPASS"
"63","GAVIAPASS.SALIX.MC",2012,"CTL","CARALP","initiated_fruits",44,40,"GAVIAPASS"
"64","GAVIAPASS.SALIX.MC",2012,"CTL","CARALP","seed_dispersal",44,1,"GAVIAPASS"
"65","GAVIAPASS.SALIX.MC",2012,"CTL","CARALP","unopened_buds",44,3,"GAVIAPASS"
"66","GAVIAPASS.SALIX.MC",2012,"CTL","LEUALP","anthesis",36,0,"GAVIAPASS"
"67","GAVIAPASS.SALIX.MC",2012,"CTL","LEUALP","expanding_fruits",36,1,"GAVIAPASS"
"68","GAVIAPASS.SALIX.MC",2012,"CTL","LEUALP","initiated_fruits",36,7,"GAVIAPASS"
"69","GAVIAPASS.SALIX.MC",2012,"CTL","LEUALP","seed_dispersal",36,0,"GAVIAPASS"
"70","GAVIAPASS.SALIX.MC",2012,"CTL","LEUALP","unopened_buds",36,2,"GAVIAPASS"
"71","GAVIAPASS.SALIX.MC",2012,"CTL","VERALP","anthesis",27,10,"GAVIAPASS"
"72","GAVIAPASS.SALIX.MC",2012,"CTL","VERALP","expanding_fruits",27,0,"GAVIAPASS"
"73","GAVIAPASS.SALIX.MC",2012,"CTL","VERALP","initiated_fruits",27,5,"GAVIAPASS"
"74","GAVIAPASS.SALIX.MC",2012,"CTL","VERALP","seed_dispersal",27,0,"GAVIAPASS"
"75","GAVIAPASS.SALIX.MC",2012,"CTL","VERALP","unopened_buds",27,0,"GAVIAPASS"
"76","GAVIAPASS.SALIX.MC",2012,"OTC","CARALP","anthesis",27,0,"GAVIAPASS"
"77","GAVIAPASS.SALIX.MC",2012,"OTC","CARALP","expanding_fruits",27,0,"GAVIAPASS"
"78","GAVIAPASS.SALIX.MC",2012,"OTC","CARALP","initiated_fruits",27,4,"GAVIAPASS"
"79","GAVIAPASS.SALIX.MC",2012,"OTC","CARALP","seed_dispersal",27,0,"GAVIAPASS"
"80","GAVIAPASS.SALIX.MC",2012,"OTC","CARALP","unopened_buds",27,5,"GAVIAPASS"
"81","GAVIAPASS.SALIX.MC",2012,"OTC","LEUALP","anthesis",26,0,"GAVIAPASS"
"82","GAVIAPASS.SALIX.MC",2012,"OTC","LEUALP","expanding_fruits",26,2,"GAVIAPASS"
"83","GAVIAPASS.SALIX.MC",2012,"OTC","LEUALP","initiated_fruits",26,4,"GAVIAPASS"
