"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
"2004","OTC","BETNAN","B","KANGER.DOPEY.EP",4,5,"KANGER"
"2004","OTC","BETNAN","FS","KANGER.DOPEY.EP",4,4,"KANGER"
"2004","OTC","BETNAN","RS","KANGER.DOPEY.EP",4,5,"KANGER"
"2004","OTC","CARSUP","B","KANGER.DOPEY.EP",4,4,"KANGER"
"2004","OTC","CARSUP","E","KANGER.DOPEY.EP",4,4,"KANGER"
"2004","OTC","CARSUP","FS","KANGER.DOPEY.EP",4,7,"KANGER"
"2004","OTC","CARSUP","RS","KANGER.DOPEY.EP",4,6,"KANGER"
"2004","OTC","CERALP","B","KANGER.DOPEY.EP",4,5,"KANGER"
"2004","OTC","CERALP","E","KANGER.DOPEY.EP",4,0,"KANGER"
"2004","OTC","CERALP","FS","KANGER.DOPEY.EP",4,5,"KANGER"
"2004","OTC","DRAXXX","B","KANGER.DOPEY.EP",4,2,"KANGER"
"2004","OTC","DRAXXX","E","KANGER.DOPEY.EP",4,6,"KANGER"
"2004","OTC","DRAXXX","FS","KANGER.DOPEY.EP",4,8,"KANGER"
"2004","OTC","DRAXXX","RS","KANGER.DOPEY.EP",4,3,"KANGER"
"2004","OTC","SALGLA","B","KANGER.DOPEY.EP",4,4,"KANGER"
"2004","OTC","SALGLA","FS","KANGER.DOPEY.EP",4,7,"KANGER"
"2004","OTC","SALGLA","LO","KANGER.DOPEY.EP",4,0,"KANGER"
"2004","OTC","SALGLA","RS","KANGER.DOPEY.EP",4,6,"KANGER"
"2004","OTC","STELON","B","KANGER.DOPEY.EP",4,7,"KANGER"
"2004","OTC","STELON","E","KANGER.DOPEY.EP",4,0,"KANGER"
"2004","OTC","STELON","FS","KANGER.DOPEY.EP",4,4,"KANGER"
