"year","treatment","spp","phen_stage","ct","ct_na","subsite","site_name"
1994,"OTC","DRYINT","fl_sen_l",0,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","lv_mat",18,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","lv_new",18,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","lv_sen",18,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1994,"OTC","DRYINT","sd_disp",18,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","cap_f",19,10,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","cap_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_bbk_f",19,12,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_bbk_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_bud_f",19,6,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_bud_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_mat_f",19,10,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_mat_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_sen_f",19,9,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","fl_sen_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","lv_mat",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","lv_new",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","lv_sen",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","DRYINT","sd_disp",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","catkin_imm",38,24,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","female_swell",38,28,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","fl_bbk",38,22,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","fl_mat",38,23,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","lv_bbk",38,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","lv_exp",38,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","lv_mat",38,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","lv_sen",38,22,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","male_fl_sen",38,30,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"CTL","SALARC","sd_disp",38,34,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","cap_f",17,12,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","cap_l",0,17,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_bbk_f",17,12,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_bbk_l",0,17,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_bud_f",17,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_bud_l",0,17,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_mat_f",17,11,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_mat_l",0,17,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_sen_f",17,11,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","fl_sen_l",0,17,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","lv_mat",17,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","lv_new",17,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","lv_sen",17,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","DRYINT","sd_disp",17,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","catkin_imm",27,22,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","female_swell",27,22,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","fl_bbk",27,22,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","fl_mat",27,21,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","lv_bbk",27,16,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","lv_exp",27,8,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","lv_mat",27,7,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","lv_sen",27,11,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","male_fl_sen",27,25,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1995,"OTC","SALARC","sd_disp",27,24,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","cap_f",21,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","cap_l",0,21,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_bbk_f",21,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_bbk_l",21,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_bud_f",21,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_bud_l",21,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_mat_f",21,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_mat_l",21,15,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_sen_f",21,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","fl_sen_l",21,20,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","lv_mat",21,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","lv_new",21,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","lv_sen",21,8,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","DRYINT","sd_disp",0,21,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","catkin_imm",40,27,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","female_swell",40,32,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","fl_bbk",40,32,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","fl_mat",40,28,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","lv_bbk",40,7,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","lv_exp",40,1,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","lv_mat",40,1,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","lv_sen",40,30,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","male_fl_sen",40,36,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"CTL","SALARC","sd_disp",0,40,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","cap_f",19,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","cap_l",0,19,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_bbk_f",19,9,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_bbk_l",19,9,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_bud_f",19,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_bud_l",19,12,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_mat_f",19,10,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_mat_l",19,10,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_sen_f",19,9,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","fl_sen_l",19,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","lv_mat",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","lv_new",19,0,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","lv_sen",19,11,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","DRYINT","sd_disp",19,18,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","catkin_imm",40,25,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","female_swell",40,33,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","fl_bbk",40,29,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","fl_mat",40,25,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","lv_bbk",40,5,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","lv_exp",40,5,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","lv_mat",40,4,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","lv_sen",40,33,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","male_fl_sen",40,32,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1996,"OTC","SALARC","sd_disp",0,40,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1997,"CTL","DRYINT","cap_f",21,17,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1997,"CTL","DRYINT","cap_l",21,17,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1997,"CTL","DRYINT","fl_bbk_f",21,15,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1997,"CTL","DRYINT","fl_bbk_l",21,15,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1997,"CTL","DRYINT","fl_bud_f",21,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1997,"CTL","DRYINT","fl_bud_l",21,14,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
1997,"CTL","DRYINT","fl_mat_f",21,13,"ALEXFIORD.MEADOW.GH","ALEXFIORD"
