subsite,phen_stage,definition,individual_or_plot,plot_aggregation,phen_stage_standardized,simple_phen,comments?
NIWOT.SADSNFC.MW,1st_flower,first flower or inflorescence visible,individual,,FF,Flower,
ADVENTDALEN.HEATH.EC,bud_individuals_first,,individual,,FIRSTINDIVIDUALSBUD,Green,
ADVENTDALEN.HEATH.EC,bud_individuals_last,,individual,,LASTINDIVIDUALSBUD,Green,
ADVENTDALEN.HEATH.EC,bud_plot_first,,plot,,FIRSTPLOTBUD,Green,
ADVENTDALEN.HEATH.EC,bud_plot_last,,plot,,LASTPLOTBUD,Green,
ADVENTDALEN.HEATH.EC,dispersal_individuals_first,,individual,,FIRSTINDIVIDUALSDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,dispersal_individuals_last,,individual,,LASTINDIVIDUALSDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,dispersal_plot_first,,plot,,FIRSTPLOTDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,dispersal_plot_last,,plot,,LASTPLOTDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,endflower_individuals_first,,individual,,FPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,endflower_individuals_last,,individual,,LPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,endflower_plot_first,,plot,,FPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,endflower_plot_last,,plot,,LPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,firstleaf_individuals_first,,individual,,FIRSTINDIVIDUALSFIRSTLEAF,Green,
ADVENTDALEN.HEATH.EC,firstleaf_plot_first,,plot,,FIRSTPLOTFIRSTLEAF,Green,
ADVENTDALEN.HEATH.EC,firstresponse_plot_first,,plot,,FIRSTPLOTFIRSTRESPONSE,NA,
ADVENTDALEN.HEATH.EC,firstsight_plot_first,,plot,,FIRSTPLOTFIRSTSIGHT,NA,
ADVENTDALEN.HEATH.EC,flower_individuals_first,,individual,,FF,Flower,
ADVENTDALEN.HEATH.EC,flower_individuals_last,,individual,,FO,Flower,
ADVENTDALEN.HEATH.EC,flower_plot_first,,plot,,FF,Flower,
