"year","treatment","spp","phen_stage","subsite","ct","ct_na","site_name"
2007,"NIT","DESCAE","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",12,0,"NIWOT"
2007,"NIT","DESCAE","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",12,0,"NIWOT"
2007,"NIT","DODPUL","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",1,0,"NIWOT"
2007,"NIT","DODPUL","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",1,0,"NIWOT"
2007,"NIT","ERISIM","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT","ERISIM","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT","FESBRA","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT","FESBRA","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT","GENALG","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",10,0,"NIWOT"
2007,"NIT","GENALG","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",10,0,"NIWOT"
2007,"NIT","GENAMA","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT","GENAMA","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT","LEWPYG","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT","LEWPYG","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT","LUZSPI","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",8,0,"NIWOT"
2007,"NIT","LUZSPI","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",8,0,"NIWOT"
2007,"NIT","POTDIV","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",4,0,"NIWOT"
2007,"NIT","POTDIV","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",4,0,"NIWOT"
2007,"NIT","RHOINT","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",2,0,"NIWOT"
2007,"NIT","RHOINT","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",2,0,"NIWOT"
2007,"NIT","STELON","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",4,0,"NIWOT"
2007,"NIT","STELON","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",4,0,"NIWOT"
2007,"NIT","TRIPAR","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT","TRIPAR","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
2007,"NIT_OTC","ACOROS","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT_OTC","ACOROS","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT_OTC","ARTSCO","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT_OTC","ARTSCO","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT_OTC","BISBIS","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",5,0,"NIWOT"
2007,"NIT_OTC","BISBIS","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",5,0,"NIWOT"
2007,"NIT_OTC","BISVIV","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",1,0,"NIWOT"
2007,"NIT_OTC","BISVIV","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",1,0,"NIWOT"
2007,"NIT_OTC","CALLEP","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",5,0,"NIWOT"
2007,"NIT_OTC","CALLEP","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",5,0,"NIWOT"
2007,"NIT_OTC","CARSCO","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",2,0,"NIWOT"
2007,"NIT_OTC","CARSCO","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",2,0,"NIWOT"
2007,"NIT_OTC","CASOCC","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",4,0,"NIWOT"
2007,"NIT_OTC","CASOCC","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",4,0,"NIWOT"
2007,"NIT_OTC","CHIJAM","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",2,0,"NIWOT"
2007,"NIT_OTC","CHIJAM","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",2,0,"NIWOT"
2007,"NIT_OTC","DESCAE","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT_OTC","DESCAE","last_flowering_plot","NIWOT.ITEXNUTSNOW.KS",6,0,"NIWOT"
2007,"NIT_OTC","FESBRA","first_flowering_plot","NIWOT.ITEXNUTSNOW.KS",3,0,"NIWOT"
